GTX_A_역,대상지역,버스번호,노선ID,노선유형,기점,종점,서울진입여부
동탄역,동탄·화성,'1550-1,GGB234000324,직행좌석버스,한신대스쿨버스정류장,신논현역.금강빌딩,Y
동탄역,동탄·화성,'1550-1(예약),GGB223000151,직행좌석버스,한신대스쿨버스정류장,신논현역.금강빌딩,Y
동탄역,동탄·화성,'1551,GGB234001138,직행좌석버스,수원대학교,양재역.서초문화예술회관(중),Y
동탄역,동탄·화성,'1551B,GGB234001290,직행좌석버스,수원대학교,강남역우리은행,Y
동탄역,동탄·화성,'1552,GGB234001708,직행좌석버스,한신대스쿨버스정류장,신분당선강남역(중),Y
동탄역,동탄·화성,'4108,GGB233000270,직행좌석버스,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'4403,GGB233000265,직행좌석버스,나루마을.월드반도,강남역티월드,Y
동탄역,동탄·화성,'4403(예약),GGB233000455,직행좌석버스,나루마을.월드반도,강남역티월드,Y
동탄역,동탄·화성,'6001,GGB233000131,직행좌석버스,동탄2차고지,신분당선강남역(중),Y
동탄역,동탄·화성,'6001(예약),GGB233000456,직행좌석버스,동탄2차고지,신분당선강남역(중),Y
동탄역,동탄·화성,'6002,GGB233000136,직행좌석버스,동탄2차고지,신분당선강남역(중),Y
동탄역,동탄·화성,'6002(예약),GGB233000457,직행좌석버스,동탄2차고지,신분당선강남역(중),Y
동탄역,동탄·화성,'6002-1,GGB233000142,직행좌석버스,한화꿈에그린,신분당선강남역(중),Y
동탄역,동탄·화성,'6004,GGB234000314,직행좌석버스,동탄국제고등학교,신분당선강남역(중),Y
동탄역,동탄·화성,'6008,GGB233000321,직행좌석버스,동탄2차고지,서초아트자이아파트,Y
동탄역,동탄·화성,'8501,GGB233000135,직행좌석버스,수원대학교,강남역우리은행,Y
동탄역,동탄·화성,'8501(예약),GGB233000458,직행좌석버스,수원대학교,강남역우리은행,Y
동탄역,동탄·화성,'8502,GGB233000333,직행좌석버스,수원대학교,강남역우리은행,Y
동탄역,동탄·화성,'G6009,GGB233000322,직행좌석버스,호수자이파밀리에.아이원,잠실광역환승센터,Y
동탄역,동탄·화성,'G6009(예약),GGB233000459,직행좌석버스,호수자이파밀리에.아이원,잠실광역환승센터,Y
동탄역,동탄·화성,'M4108,GGB234001245,광역급행버스,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'M4108(예약),GGB233000466,광역급행버스,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'M4130,GGB234001577,광역급행버스,호수자이파밀리에.아이원,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'M4130(예약),GGB233000460,광역급행버스,호수자이파밀리에.아이원,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'M4137,GGB234001622,광역급행버스,아이파크.센트럴시티,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'M4137(예약),GGB233000461,광역급행버스,아이파크.센트럴시티,서울역버스환승센터(6번승강장)(중),Y
동탄역,동탄·화성,'M4403,GGB234000995,광역급행버스,나루마을.월드반도,강남역티월드,Y
동탄역,동탄·화성,'M4403(예약),GGB233000467,광역급행버스,나루마을.월드반도,강남역티월드,Y
동탄역,동탄·화성,'M4434,GGB234001619,광역급행버스,호수자이파밀리에.아이원,신분당선강남역(중),Y
동탄역,동탄·화성,'M4434(예약),GGB233000462,광역급행버스,호수자이파밀리에.아이원,신분당선강남역(중),Y
동탄역,동탄·화성,'M4448,GGB233000332,광역급행버스,아이파크.센트럴시티,신분당선강남역(중),Y
동탄역,동탄·화성,'M4448(예약),GGB233000463,광역급행버스,아이파크.센트럴시티,신분당선강남역(중),Y
동탄역,동탄·화성,'M4449,GGB233000354,광역급행버스,한신대입구사거리,신분당선강남역(중),Y
동탄역,동탄·화성,'P9301(출근),GGB233000336,직행좌석버스,나루마을.월드반도,잠실광역환승센터,Y
동탄역,동탄·화성,'P9302(출근),GGB233000338,직행좌석버스,호수자이파밀리에.아이원,잠실광역환승센터,Y
성남역,성남·분당,'1005,GGB234000065,직행좌석버스,외국어대학교,신분당선강남역(중),Y
성남역,성남·분당,'1007,GGB234000015,직행좌석버스,수원대학교,잠실광역환승센터,Y
성남역,성남·분당,'1007(예약),GGB233000464,직행좌석버스,수원대학교,잠실광역환승센터,Y
성남역,성남·분당,'1007-1,GGB234000013,직행좌석버스,대광빌리지,잠실역.롯데월드,Y
성남역,성남·분당,'1009,GGB234000310,직행좌석버스,수원대학교,잠실광역환승센터,Y
성남역,성남·분당,'1009(예약),GGB233000465,직행좌석버스,수원대학교,잠실광역환승센터,Y
성남역,성남·분당,'102,GGB206000007,직행좌석버스,단국대.치과병원,건대입구역1번출구,Y
성남역,성남·분당,'1101,GGB234000879,직행좌석버스,단국대.치과병원,신분당선강남역(중),Y
성남역,성남·분당,'1101N,GGB228000418,직행좌석버스,단국대.치과병원,신분당선강남역(중),Y
성남역,성남·분당,'1150,GGB234000882,직행좌석버스,외국어대학교,서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'1151,GGB204000081,직행좌석버스,오산리종점,신분당선강남역(중),Y
성남역,성남·분당,'1241,GGB228000181,직행좌석버스,청덕중고.지식산업센터.청덕도서관,강남역티월드,Y
성남역,성남·분당,'1241(예약),GGB228000451,직행좌석버스,청덕중고.지식산업센터.청덕도서관,강남역티월드,Y
성남역,성남·분당,'1500-2,GGB234000313,직행좌석버스,에버랜드(승차홈),사당역3번출구,Y
성남역,성남·분당,'4103,GGB204000172,직행좌석버스,판교대장로동측,서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'5600,GGB228000184,직행좌석버스,명지대,테크노마트앞.강변역(C),Y
성남역,성남·분당,'5600(예약),GGB228000420,직행좌석버스,수원컨트리클럽,테크노마트앞.강변역(C),Y
성남역,성남·분당,'5700(예약),GGB228000435,직행좌석버스,명지대,테크노마트앞.강변역(C),Y
성남역,성남·분당,'5700A,GGB228000395,직행좌석버스,명지대,테크노마트앞.강변역(C),Y
성남역,성남·분당,'5700B,GGB228000271,직행좌석버스,명지대,테크노마트앞.강변역(C),Y
성남역,성남·분당,'6900,GGB234000027,직행좌석버스,광교차고지,잠실종합운동장,Y
성남역,성남·분당,'7007-1,GGB228000393,직행좌석버스,단국대.치과병원,한국거래소,Y
성남역,성남·분당,'8100,GGB234000878,직행좌석버스,단국대.치과병원,을지로입구역.광교,Y
성남역,성남·분당,'8100(예약),GGB228000449,직행좌석버스,단국대.치과병원,을지로입구역.광교,Y
성남역,성남·분당,'9000,GGB234000002,직행좌석버스,구미동차고지(미정차),서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'9000(예약),GGB204000191,직행좌석버스,구미동차고지(미정차),서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'9000-1,GGB234001574,직행좌석버스,단국대학교.죽전야외음악당.성현마을2단지,서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'9003,GGB204000046,직행좌석버스,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'9004,GGB204000041,직행좌석버스,운중동먹거리촌,강남역티월드,Y
성남역,성남·분당,'9007,GGB204000070,직행좌석버스,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'9300,GGB234000886,직행좌석버스,도촌동9단지앞,서울역버스환승센터(5번승강장)(중),Y
성남역,성남·분당,'9407,GGB204000024,직행좌석버스,구미동차고지앞,ST송은빌딩,Y
성남역,성남·분당,'9507,GGB204000059,직행좌석버스,판교대장로동측,청담초등학교앞,Y
성남역,성남·분당,'9607,GGB204000065,직행좌석버스,성우스타우스,청담초등학교앞,Y
성남역,성남·분당,'G8110,GGB204000082,직행좌석버스,오리역,국가인권위.안중근활동터(중),Y
성남역,성남·분당,'G8110(예약),GGB204000189,직행좌석버스,오리역,국가인권위.안중근활동터(중),Y
성남역,성남·분당,'M4101,GGB234000875,광역급행버스,상현역,숭례문,Y
성남역,성남·분당,'M4101(예약),GGB228000450,광역급행버스,상현역,숭례문,Y
성남역,성남·분당,'M4102,GGB234001159,광역급행버스,구미동차고지(미정차),숭례문,Y
성남역,성남·분당,'M4102(예약),GGB204000190,광역급행버스,구미동차고지(미정차),숭례문,Y
성남역,성남·분당,'P9243(출근),GGB234001709,직행좌석버스,흥덕중심상업지구,잠실역.롯데월드몰(중),Y
성남역,성남·분당,'P9301(출근),GGB233000336,직행좌석버스,나루마을.월드반도,잠실광역환승센터,Y
성남역,성남·분당,'P9302(출근),GGB233000338,직행좌석버스,호수자이파밀리에.아이원,잠실광역환승센터,Y
성남역,성남·분당,'반디1,GGB204000149,직행좌석버스,오리역,복정역환승센터1번승강장,Y
성남역,성남·분당,'반디1-1,GGB204000150,직행좌석버스,오리역,위례중앙중학교,Y
운정중앙역,운정·파주,'1500,GGB218000010,직행좌석버스,차고지대기(미정차),CM병원,Y
운정중앙역,운정·파주,'1500(예약),GGB218000174,직행좌석버스,차고지대기(미정차),CM병원,Y
운정중앙역,운정·파주,'2200,GGB229000288,직행좌석버스,교하파출소,홍대입구,Y
운정중앙역,운정·파주,'2200-1,GGB229000316,직행좌석버스,교하파출소,홍대입구,Y
운정중앙역,운정·파주,'3100,GGB229000295,직행좌석버스,교하차고지,홍대입구역(중),Y
운정중앙역,운정·파주,'3100N,GGB229000294,직행좌석버스,교하차고지,홍대입구역(중),Y
운정중앙역,운정·파주,'3400,GGB218000117,직행좌석버스,가람마을5단지,공덕역1번출구,Y
운정중앙역,운정·파주,'7101,GGB229000273,직행좌석버스,팜스프링아파트,혜화역2번출구.마로니에공원,Y
운정중앙역,운정·파주,'7111,GGB229000314,직행좌석버스,해오름마을3.4단지,광화문역6번출구.광화문빌딩,Y
운정중앙역,운정·파주,'7200,GGB229000072,직행좌석버스,교하차고지,숭례문,Y
운정중앙역,운정·파주,'9030,GGB229000289,직행좌석버스,교하파출소,영등포소방서.타임스퀘어,Y
운정중앙역,운정·파주,'9030-1,GGB229000290,직행좌석버스,교하차고지,영등포소방서.타임스퀘어,Y
운정중앙역,운정·파주,'9709,GGB229000263,직행좌석버스,장터고개.맥금동영업소,광화문역6번출구,Y
운정중앙역,운정·파주,'9709N,GGB229000277,직행좌석버스,장터고개.맥금동영업소,광화문역6번출구,Y
운정중앙역,운정·파주,'9710,GGB229000023,직행좌석버스,문산읍행정복지센터,광화문역6번출구,Y
운정중앙역,운정·파주,'9710-1,GGB229000247,직행좌석버스,문산읍행정복지센터,광화문역6번출구,Y
운정중앙역,운정·파주,'G7426,GGB229000111,직행좌석버스,당하동,양재역.양재1동민원분소,Y
운정중앙역,운정·파주,'G7625,GGB229000112,직행좌석버스,당하동,여의도역5번출구,Y
운정중앙역,운정·파주,'M7111,GGB229000311,광역급행버스,차고지대기(미정차),숭례문,Y
운정중앙역,운정·파주,'M7111(예약),GGB229000315,광역급행버스,차고지대기(미정차),숭례문,Y
운정중앙역,운정·파주,'M7154,GGB229000281,광역급행버스,교하차고지(미정차),광화문역6번출구.광화문빌딩,Y
킨텍스역,일산서구,'1000,GGB219000013,직행좌석버스,대화동,숭례문,Y
킨텍스역,일산서구,'1100,GGB218000011,직행좌석버스,고양공영차고지,CM병원,Y
킨텍스역,일산서구,'1200,GGB219000016,직행좌석버스,고양공영차고지,숭례문,Y
킨텍스역,일산서구,'1500,GGB218000010,직행좌석버스,차고지대기(미정차),CM병원,Y
킨텍스역,일산서구,'1500(예약),GGB218000174,직행좌석버스,차고지대기(미정차),CM병원,Y
킨텍스역,일산서구,'1900,GGB219000027,직행좌석버스,고양공영차고지,숭례문,Y
킨텍스역,일산서구,'6701,GGB232000139,직행좌석버스,홈플러스.산림조합,상암DMC홍보관.YTN,Y
킨텍스역,일산서구,'9700,GGB219000026,직행좌석버스,기점진입전(미정차),말죽거리공원사거리,Y
킨텍스역,일산서구,'M7412,GGB218000167,광역급행버스,중산마을2단지.해태쇼핑.코오롱아파트,강남역서초현대타워앞,Y
킨텍스역,일산서구,'M7412(예약),GGB218000172,광역급행버스,중산마을2단지.해태쇼핑.코오롱아파트,강남역서초현대타워앞,Y
킨텍스역,일산서구,'M7731,GGB218000158,광역급행버스,하이파크시티3.5단지,공덕역1번출구,Y
