H3 셀,2024 승차인원,2025 승차인원,승차인원 증감
8830e0a407fffff,9,14,5
8830e0a419fffff,31,11,-20
8830e0a41dfffff,211,165,-46
8830e0a423fffff,14,8,-6
8830e0a42bfffff,25,10,-15
8830e0a431fffff,162,176,14
8830e0a437fffff,659,702,43
8830e0a439fffff,267,249,-18
8830e0a44dfffff,106,92,-14
8830e0a49bfffff,18,25,7
8830e0a513fffff,16,17,1
8830e0a51bfffff,3,5,2
8830e0a597fffff,3,2,-1
8830e0a5d1fffff,63,107,44
8830e0a5ddfffff,302,412,110
8830e0a601fffff,9,6,-3
8830e0a609fffff,523,426,-97
8830e0a60dfffff,330,240,-90
8830e0a621fffff,197,93,-104
8830e0a627fffff,269,164,-105
8830e0a631fffff,24,7,-17
8830e0a647fffff,91,31,-60
8830e0a649fffff,147,157,10
8830e0a64dfffff,82,89,7
8830e0a663fffff,304,298,-6
8830e0a665fffff,1994,1543,-451
8830e0a66dfffff,593,352,-241
8830e0a69dfffff,1,7,6
8830e0a6a1fffff,35,13,-22
8830e0a6a7fffff,4,18,14
8830e0a6bdfffff,3,3,0
8830e0b401fffff,495,298,-197
8830e0b411fffff,39,27,-12
8830e0b427fffff,82,90,8
8830e0b467fffff,347,187,-160
8830e0b481fffff,404,286,-118
8830e0b485fffff,304,219,-85
8830e0b489fffff,411,144,-267
8830e0b48dfffff,247,218,-29
8830e0b4abfffff,400,297,-103
8830e0b4c5fffff,781,286,-495
8830e0b4d7fffff,324,285,-39
8830e0b4e1fffff,1068,707,-361
8830e0b4e7fffff,320,235,-85
8830e0b4ebfffff,320,125,-195
8830e0b587fffff,281,164,-117
8830e0b593fffff,21,53,32
8830e0b595fffff,896,1602,706
8830e0b597fffff,236,343,107
8830e0b5b5fffff,882,945,63
8830e0b5b9fffff,1123,692,-431
8830e0b5bbfffff,79,62,-17
8830e0b5bdfffff,1036,424,-612
8830e0b6a7fffff,16,10,-6
8830e0b6c7fffff,4,11,7
8830e0b6cbfffff,18,9,-9
8830e56911fffff,21,18,-3
8830e56955fffff,194,194,0
8830e5695dfffff,4,5,1
8830e569e7fffff,108,113,5
8830e569e9fffff,39,56,17
8830e56a21fffff,1,4,3
8830e56a25fffff,22,4,-18
8830e56b01fffff,33,23,-10
8830e56b0dfffff,5,12,7
8830e56b21fffff,19,5,-14
8830e56b2dfffff,12,14,2
8830e56b69fffff,10,8,-2
8830e578b3fffff,5,6,1
8830e578b7fffff,3,9,6
8830e57927fffff,138,129,-9
