H3 셀,2024 승차인원,2025 승차인원,승차인원 증감
8930e0a2e2bffff,8,19,11
8930e0a406bffff,9,14,5
8930e0a4183ffff,6,2,-4
8930e0a4197ffff,1,2,1
8930e0a41c7ffff,99,67,-32
8930e0a41cfffff,73,76,3
8930e0a41d7ffff,39,22,-17
8930e0a422bffff,10,5,-5
8930e0a4233ffff,4,3,-1
8930e0a42a7ffff,25,10,-15
8930e0a4303ffff,111,122,11
8930e0a430bffff,89,57,-32
8930e0a4343ffff,130,98,-32
8930e0a434fffff,43,65,22
8930e0a435bffff,70,46,-24
8930e0a4363ffff,454,545,91
8930e0a436bffff,141,121,-20
8930e0a4373ffff,64,36,-28
8930e0a438bffff,56,65,9
8930e0a438fffff,51,54,3
8930e0a4393ffff,101,77,-24
8930e0a439bffff,110,107,-3
8930e0a44d3ffff,106,92,-14
8930e0a49abffff,18,25,7
8930e0a5127ffff,16,17,1
8930e0a51a7ffff,3,5,2
8930e0a596fffff,3,2,-1
8930e0a5d13ffff,63,107,44
8930e0a5dd7ffff,302,412,110
8930e0a6003ffff,9,6,-3
8930e0a6083ffff,109,95,-14
8930e0a6097ffff,116,98,-18
8930e0a609bffff,298,233,-65
8930e0a60c3ffff,330,240,-90
8930e0a616fffff,12,1,-11
8930e0a6203ffff,197,93,-104
8930e0a6263ffff,269,164,-105
8930e0a6313ffff,24,7,-17
8930e0a640fffff,28,35,7
8930e0a6413ffff,56,27,-29
8930e0a641bffff,41,37,-4
8930e0a646fffff,91,31,-60
8930e0a648fffff,78,52,-26
8930e0a649bffff,69,105,36
8930e0a64cfffff,71,80,9
8930e0a64d3ffff,11,9,-2
8930e0a662fffff,172,131,-41
8930e0a663bffff,132,167,35
8930e0a664fffff,892,737,-155
8930e0a6653ffff,1102,806,-296
8930e0a66dbffff,593,352,-241
8930e0a69c3ffff,1,7,6
8930e0a6a0bffff,35,13,-22
8930e0a6a4bffff,3,3,0
8930e0a6a73ffff,4,18,14
8930e0a6bd3ffff,3,3,0
8930e0a7117ffff,411,293,-118
8930e0a7133ffff,56,54,-2
8930e0a7137ffff,16,35,19
8930e0b400fffff,495,298,-197
8930e0b407bffff,53,35,-18
8930e0b4103ffff,17,10,-7
8930e0b4147ffff,146,77,-69
8930e0b4267ffff,82,90,8
8930e0b42dbffff,6,22,16
8930e0b4623ffff,110,233,123
8930e0b466fffff,241,178,-63
8930e0b4813ffff,93,129,36
8930e0b484bffff,111,56,-55
8930e0b4853ffff,106,92,-14
8930e0b4857ffff,87,71,-16
8930e0b488bffff,411,144,-267
8930e0b48a7ffff,239,211,-28
8930e0b48cbffff,247,218,-29
8930e0b49d3ffff,252,192,-60
8930e0b4a2bffff,8,13,5
8930e0b4a6fffff,18,13,-5
8930e0b4a8fffff,130,94,-36
8930e0b4a93ffff,77,29,-48
8930e0b4aabffff,96,83,-13
8930e0b4ab7ffff,179,138,-41
8930e0b4bdbffff,125,76,-49
8930e0b4c47ffff,711,201,-510
8930e0b4d63ffff,63,69,6
8930e0b4d77ffff,9,24,15
8930e0b4e03ffff,619,440,-179
8930e0b4e07ffff,289,204,-85
8930e0b4e3bffff,135,34,-101
8930e0b4e77ffff,320,235,-85
8930e0b4eafffff,231,98,-133
8930e0b4ebbffff,89,27,-62
8930e0b586fffff,167,86,-81
8930e0b5927ffff,21,53,32
8930e0b594bffff,1990,2262,272
8930e0b5953ffff,29,32,3
8930e0b596fffff,236,343,107
8930e0b5ab3ffff,93,70,-23
8930e0b5b57ffff,882,945,63
8930e0b5ba3ffff,79,62,-17
8930e0b5bc3ffff,1036,424,-612
8930e0b6a6bffff,16,10,-6
8930e0b6c47ffff,134,63,-71
8930e0b6c77ffff,4,11,7
8930e0b6c8bffff,12,7,-5
8930e0b6cbbffff,18,9,-9
8930e0b6e87ffff,73,95,22
8930e0b6eb7ffff,31,42,11
8930e56911bffff,21,18,-3
8930e569543ffff,76,88,12
8930e5695d7ffff,4,5,1
8930e569ad3ffff,11,17,6
8930e569e07ffff,20,14,-6
8930e569e1bffff,99,94,-5
8930e569e6bffff,78,88,10
8930e569e8bffff,39,56,17
8930e56a213ffff,1,4,3
8930e56a253ffff,22,4,-18
8930e56b073ffff,33,23,-10
8930e56b0cfffff,5,12,7
8930e56b213ffff,19,5,-14
8930e56b22fffff,3,2,-1
8930e56b233ffff,9,21,12
8930e56b2c7ffff,12,14,2
8930e56b683ffff,10,8,-2
8930e578b33ffff,5,6,1
8930e578b67ffff,3,9,6
8930e578ba3ffff,26,13,-13
8930e578ba7ffff,4,16,12
8930e57922fffff,17,35,18
8930e579267ffff,43,64,21
8930e57926bffff,95,65,-30
